title,price,size,Color,SKU,Category,short description,Description,path
Logan  HeatTec® Tee,£24.00,"XS, S, M, L, XL","Black, Blue, Red",MS10,Tees,This is a variable product called a Logan  HeatTec® Tee,"Soft and lightweight, the Logan HeatTec® Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.
• Semi-fitted. 
• Crew neckline. 
• Machine wash/tumble dry.",Home/Clothing/Men/Tops/Tees
Leah Yoga Top,£39.00,"XS, S, M, L, XL","Orange, Purple, White",WT05,Erin Recommends|Clothing,This is a variable product called a Leah Yoga Top,"The Leah Yoga Top offers a practical, comfortable upper that will not compromise your style. Body hugging fit and interior shelf bra make it suitable for active or leisure pursuits.
• Blue heather rouched tank top.
• Camisole tank top.
• Banding and shirring details.
• Body hugging fit.
• Contrast topstitch.
• Interior shelf bra with shapewear technology.
• 65% Polyester 35% Cotton.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/Erin Recommends|Clothing
Layla Tee,£29.00,"XS, S, M, L, XL","Blue, Green, Red",WS04,Eco Friendly|Clothing,This is a variable product called a Layla Tee,"Work out or hang out in chic style in the Layla Tee. With a lightweight sheer design and a roomy neckline, this tee fits you comfortably while looking stylish.
• Teal tee.
• Long back hem.
• Dropped shoulders.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Eco Friendly|Clothing
Kratos Gym Pant,£57.00,"32, 33, 34, 36","Black, Blue, Green",MP05,New Luma Yoga Collection|Clothing,This is a variable product called a Kratos Gym Pant,"Like it’s namesake god of strength, the Kratos Gym Pant help you bring your best to bear on weight-based, plyometric and endurance exercise. They stretch and support in all the right places while ultra-light construction and moisture-wicking technology provide comfort.
• Navy cotton straight leg pants.
• Relaxed fit. 
• 2 side-seam pockets. 
• Internal zip pocket. 
• Drawstring waist. 
• Machine wash/dry.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing
Lando Gym Jacket,£99.00,"XS, S, M, L, XL","Blue, Gray, Green",MJ08,Jackets,This is a variable product called a Lando Gym Jacket,"The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you’re plugged in when working out.
• Gray polyester/spandex full zip jacket with orange lining. 
• Right pocket device storage.
• Cocona® performance fabric. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Jackets
Karmen Yoga Pant,£39.00,"28, 29","Black, Gray, White",WP01,Performance Fabrics|Clothing,This is a variable product called a Karmen Yoga Pant,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.
• Light blue parachute pants.
• Power mesh internal waistband for support.
• Internal waistband pocket.
• Antimicrobial finish.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Performance Fabrics|Clothing
Kenobi Trail Jacket,£47.00,"XS, S, M, L, XL","Black, Blue, Purple",MJ04,Eco Friendly|Clothing,This is a variable product called a Kenobi Trail Jacket,"Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.
• Black 1/4 zip pullover with royal zipper. 
• Adjustable hood and sleeve cuffs. 
• Machine wash/air dry.",Home/Clothing/Men/Tops/Jackets|Clothing/Collections/Eco Friendly|Clothing
Karissa V-Neck Tee,£32.00,"XS, S, M, L, XL","Green, Red, Yellow",WS10,Performance Fabrics|Clothing,This is a variable product called a Karissa V-Neck Tee,"The Karissa V-Neck Tee features a semi-fitted shape that’s flattering for every figure. You can hit the gym with confidence while it hugs curves and hides common “problem” areas.
• Pink heather soft v-neck tee. 
• Luma signature micro sleeves.
• Semi-fitted. 
• Machine wash/dry.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/Performance Fabrics|Clothing
Erica Evercool Sports Bra,£39.00,"XS, S, M, L, XL","Blue, Orange, Yellow",WB02,Bras & Tanks,This is a variable product called a Erica Evercool Sports Bra,"Perfect for medium-impact workouts, our Erica EverCool™ Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.
• Honeycomb light blue bra top.
• Elastic hem.
• Reinforced binding. 
• Machine wash/dry.",Home/Clothing/Women/Tops/Bras & Tanks
Endeavor Daytrip Backpack,£33.00,"Gym, Hiking, School, Urban",Color-Blocked,24-WB06,Erin Recommends,This is a simple product called Endeavor Daytrip Backpack,"With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day’s worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.",Home/Gear/Bags|Collections/Erin Recommends
Endurance Watch,£49.00,"Recreation, Athletic",Men,24-MG01,Watches,This is a simple product called Endurance Watch,"It’s easy to track and monitor your training progress with the Endurance Watch. You’ll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.",Home/Gear/Watches
Eos V-Neck Hoodie,£54.00,"XS, S, M, L, XL","Blue, Green, Orange",WH11,Erin Recommends|Clothing,This is a variable product called a Eos V-Neck Hoodie,"Getting chilly before class starts? Wear the Eos on your way to and from yoga for a cute and cozy warmup piece. Reach for its reliable comfort and enjoy a super-soft blend of fabrics finished in sporty style that includes a hidden kangaroo pocket.
Semi-fitted. 
Long-Sleeve. 
Machine wash/line dry.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/Erin Recommends|Clothing
Emma Leggings,£42.00,"28, 29","Blue, Purple, Red",WP02,Performance Fabrics|Clothing,This is a variable product called a Emma Leggings,"These comfortable and practical leggings pair perfectly with any workout top or casual tee. The Emma’s subtle contrast fabric and fit ensure you’re stylish without overdoing it.
• Light blue heather yoga pants. 
• Body hugging fit.
• Low rise fit.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Performance Fabrics|Clothing
Elisa EverCool™ Tee,£29.00,"XS, S, M, L, XL","Gray, Purple, Red",WS06,Eco Friendly|Clothing,This is a variable product called a Elisa EverCool™ Tee,"When rising temps threaten to melt you down, Elisa EverCool™ Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.
• Purple heather v-neck tee.
• Short-Sleeves.
• Luma EverCool™ fabric. 
• Machine wash/line dry.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Eco Friendly|Clothing
Electra Bra Top,£39.00,"XS, S, M, L, XL","Black, Gray, Purple",WB01,Eco Friendly|Clothing,This is a variable product called a Electra Bra Top,"A heavenly soft and stylish eco garment, the Electra Bra Top is perfect for wearing on its own as a hot yoga top or layered under a tank.
• Gray rouched bra top.
• Attractive back straps feature contrasting motif fabric.
• Interior bra top is lined with breathable mesh.
• Elastic underband for superior support.
• Removable cup inserts.
• Chafe-free flat lock seams provide added comfort.",Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Promotions/Women Sale|Clothing/Collections/Eco Friendly|Clothing
Dual Handle Cardio Ball,£12.00,"Athletic, Sports, Gym","Men, Women, Unisex",24-UG07,Erin Recommends,This is a simple product called Dual Handle Cardio Ball,"Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.",Home/Gear/Fitness Equipment|Collections/Erin Recommends
Echo Fit Compression Short,£24.00,"28, 29, 30, 31, 32","Black, Blue, Purple",WSH07,New Luma Yoga Collection|Clothing,This is a variable product called a Echo Fit Compression Short,"Your muscles know it’s go time the second you pull on the Echo Fit Compression Short. A balance of firm, stimulating squeeze with breathability, it offers the support and comfort you need to give it your all.
• Black compression shorts.
• High-waisted cut.
• Compression fit.
• Inseam: 1.0″. 
• Machine wash/dry.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing
Didi Sport Watch,£92.00,"Athletic, Gym",Women,24-WG02,New Luma Yoga Collection,This is a simple product called Didi Sport Watch,"The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.",Home/Gear/Watches|Collections/New Luma Yoga Collection
Driven Backpack,£36.00,"Gym, School, Yoga",Color-Blocked,24-WB03,Bags,This is a simple product called Driven Backpack,"School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it’s outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.",Home/Gear/Bags
Diva Gym Tee,£32.00,"XS, S, M, L, XL","Green, Orange, Yellow",WS11,Erin Recommends|Clothing,This is a variable product called a Diva Gym Tee,"The Diva Gym Tee feels like your favorite right out of the mailbox. Micro-sleeved, lightweight and extra comfortable, it’s a casual staple that hides incredible comfort behind a laid-back, carefree look.
• Bright yellow v-neck tee.
• Moisture-wicking fabric. 
• Long-Sleeves. 
• Machine wash/line dry.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Promotions/Women Sale|Clothing/Collections/Erin Recommends|Clothing
Diana Tights,£59.00,"28, 29","Black, Blue, Orange",WP06,Erin Recommends|Clothing,This is a variable product called a Diana Tights,"Perfect for hot bikram session or cool-down stretching. 8-percent stretch means you’ll feel like anything is possible in the capri-style Diana Tights.
• Black legging with slate details.
• Flat-lock, chafe-free side seams.
• Vented gusset.
• Secret interior pocket.
• Sustainable and recycled fabric.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Erin Recommends|Clothing
Deirdre Relaxed-Fit Capri,£63.00,"28, 29","Blue, Gray, Green",WP12,Performance Fabrics|Clothing,This is a variable product called a Deirdre Relaxed-Fit Capri,"Invigorate your yoga practice with this Deirdre Relaxed-Fit Capri, designed to let you move without strain or restriction.
• Heather gray capris with mint green waist & accents.
• Comfortable, relaxed fit with high rise.
• Moisture-wicking, 4-way stretch construction.
• Lined with mesh for better support.
• Hidden pocket at waistband.
• Flatlock seams and lined gusset for comfort.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Performance Fabrics|Clothing
Joust Duffle Bag,£34.00,"Gym, Travel, Trail, Overnight",Solid,24-MB01,Bags,This is a simple product called Joust Duffle Bag,"The sporty Joust Duffle Bag can’t be beat – not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it’s ideal for athletes with places to go.",Home/Gear/Bags
Jupiter All-Weather Trainer,£56.99,"XS, S, M, L, XL","Blue, Green, Purple",MJ06,Eco Friendly|Clothing,This is a variable product called a Jupiter All-Weather Trainer ,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.
• Relaxed fit. 
• Hand pockets. 
• Machine wash/dry.
• Reflective safety trim.",Home/Clothing/Men/Tops/Jackets|Clothing/Collections/Eco Friendly|Clothing
Juno Jacket,£77.00,"XS, S, M, L, XL","Blue, Green, Purple",WJ06,Performance Fabrics|Clothing,This is a variable product called a Juno Jacket,"On colder-than-comfortable mornings, you’ll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona® technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.
• Adjustable hood.• Fleece-lined, zippered hand pockets.• Thumbhole cuffs.• Full zip.• Mock-neck collar.• Machine wash/dry.",Home/Clothing/Women/Tops/Jackets|Clothing/Promotions/Women Sale|Clothing/Collections/Performance Fabrics|Clothing
Desiree Fitness Tee,£24.00,"XS, S, M, L, XL","Black, Orange, Yellow",WS05,Tees|Clothing,This is a variable product called a Desiree Fitness Tee,"When you’re too far to turn back, thank yourself for choosing the Desiree Fitness Tee. Its ultra-lightweight, ultra-breathable fabric wicks sweat away from your body and helps keeps you cool for the distance.
• Short-Sleeves.
• Performance fabric.
• Machine wash/line dry.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing
Juliana Short-Sleeve Tee,£42.00,"XS, S, M, L, XL","Black, White, Yellow",WS07,Erin Recommends|Clothing,This is a variable product called a Juliana Short-Sleeve Tee,"The Juliana Short-Sleeve Tee gives you more than sporty style. Consider that its soft Cocona® polyester fabric accelerates evaporation to help keep you dry and comfortable, too. And a selection of colors lets you get more than one.
• Black scoop neck tee.
• Side rouching.
• Relaxed fit.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Erin Recommends|Clothing
Josie Yoga Jacket,£56.25,"XS, S, M, L, XL","Black, Blue, Gray",WJ02,Women Sale|Clothing,This is a variable product called a Josie Yoga Jacket,"When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech™ fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.
• Slate rouched neck pullover.
• Moisture-wicking fabric.
• Hidden zipper.
• Mesh armpit venting.
• Dropped rear hem.",Home/Clothing/Women/Tops/Jackets|Clothing/Promotions/Women Sale|Clothing
Jade Yoga Jacket,£32.00,"XS, S, M, L, XL","Blue, Gray, Green",WJ09,Erin Recommends|Clothing,This is a variable product called a Jade Yoga Jacket,"If only all your other jackets were as comfortable as the relaxed-fit Jade Yoga Jacket, perfect for use during stretching, biking to and from studio or strolling on breezy fall days.
• Seafoam 1/4 zip pullover with purple stitching.
• Lightweight, quick-drying, water-resistant construction.
• Shirred details at front and back for a feminine look.
• Hood collapses into collar.
• Mesh liner for breathability.
• Front zip pockets.
• Hem cinches at sideseam.
• 100% Polyester.",Home/Clothing/Women/Tops/Jackets|Clothing/Collections/Erin Recommends|Clothing
Impulse Duffle,£74.00,"Gym, Overnight, Travel",Solid,24-UB02,Bags,This is a simple product called Impulse Duffle,"Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you’ll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.",Home/Gear/Bags
Ina Compression Short,£49.00,"28, 29, 30, 31, 32","Blue, Orange, Red, Green, Purple",WSH11,Erin Recommends|Clothing,This is a variable product called a Ina Compression Short,"One of Luma’s most popular items, the Ina Compression Short has you covered with exceptional support and comfort, whether you’re running the trail, riding a bike or ripping out reps. The ventilating fabric offers cool relief and prevents irritating chafing.
• Royal blue bike shorts.
• Compression fit. 
• Moisture-wicking. 
• Anti-microbial. 
• Machine wash/dry.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/Erin Recommends|Clothing
Iris Workout Top,£29.00,"XS, S, M, L, XL","Blue, Green, Red",WS03,Performance Fabrics|Clothing,This is a variable product called a Iris Workout Top,"The Iris Workout Top is sleeveless, body fitting and moisture wicking for a fashionable, functional garment. Rouched textures add style.
• Pink heather rouched v-neck.
• Scoop neckline.
• Angled flat seams.
• Moisture wicking.
• Body skimming.
• 83% Polyester / 11% TENCEL® Lyocell / 6% Lycra® Spandex.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/Performance Fabrics|Clothing
Ingrid Running Jacket,£84.00,"XS, S, M, L, XL","Orange, Red, White",WJ04,Performance Fabrics|Clothing,This is a variable product called a Ingrid Running Jacket,"The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. 
• Slim fit. 
• Moisture-wicking fabric. 
• Two side pockets. 
• Zippered pocket at back waist. 
• Machine wash/dry.
• Ivory specked full zip",Home/Clothing/Women/Tops/Jackets|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Performance Fabrics|Clothing
Ida Workout Parachute Pant,£48.00,,"Black, Blue, Purple",WP03,New Luma Yoga Collection|Clothing,This is a variable product called a Ida Workout Parachute Pant,"The Ida Workout Parachute Pant is made of lightweight, super-soft fabric that keeps you comfortable during any level of activity, whether Downward Dog or a few trail miles.
• Royal blue parachute pants.
• Contrast stripe.
• Relaxed fit. 
• Drawstring closure.
• Machine wash/dry.",Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing
Inez Full Zip Jacket,£59.00,"XS, S, M, L, XL","Orange, Purple, Red",WJ07,Jackets,This is a variable product called a Inez Full Zip Jacket,"The Inez Full Zip jacket is more than a cute layer. It’s a full-on tech wonder you’ll use for outdoor, pre and post workout. You’ll love how the highlighted zipper and sleeve safety trim protect and catch looks.
• Purple heather inset full zip jacket.
• Full zip hoodie.
• Contrast binding along the zipper, hood and sleeves.
• Inseam pockets for storage.
• Thumbholes for comfortable fit.",Home/Clothing/Women/Tops/Jackets
Hollister Backyard Sweatshirt,£52.00,"XS, S, M, L, XL","Green, Red, White",MH05,Hoodies & Sweatshirts,This is a variable product called a Hollister Backyard Sweatshirt,"Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you’re raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.
• Cream crewneck sweatshirt with navy sleeves/trim.
• Relaxed fit. 
• Ribbed cuffs and hem. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Hyperion Elements Jacket,£51.00,"XS, S, M, L, XL","Green, Orange, Red",MJ02,Jackets,This is a variable product called a Hyperion Elements Jacket,"Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech™ insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.
• Lime 1/4 zip pullover.
• Split pocket. 
• Thumb holes. 
• Machine wash/hang to dry.",Home/Clothing/Men/Tops/Jackets
Helios Endurance Tank,£32.00,"XS, S, M, L, XL",Blue,MT04,Tanks,This is a variable product called a Helios Endurance Tank,"When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street.
• Blue heather tank with gray pocket.
• Contrast sides and back inserts.
• Self-fabric binding at neck and armholes. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tanks
Hera Pullover Hoodie,£48.00,"XS, S, M, L, XL","Blue, Green, Orange",WH02,Women Sale|Clothing,This is a variable product called a Hera Pullover Hoodie,"Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.
• Teal with purple stiching.
• Hoodie pullover.
• Snug fit.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Promotions/Women Sale|Clothing
Hero Hoodie,£54.00,"XS, S, M, L, XL","Black, Gray, Green",MH07,Hoodies & Sweatshirts,This is a variable product called a Hero Hoodie,"Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.
• Full-zip gray and black hoodie.
• Ribbed hem.
• Standard fit.
• Drawcord hood cinch.
• Water-resistant coating.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Helios EverCool™ Tee,£24.00,"XS, S, M, L, XL","Black, Blue, Purple",MS05,Eco Friendly|Clothing,This is a variable product called a Helios EverCool™ Tee,"Pumping iron or dialing the track, you’ve got cool comfort on your side in our short-sleeve Helios EverCool™ Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.
• Teal quick dry tee.
• Relaxed fit. 
• Crew neckline. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees|Clothing/Collections/Eco Friendly|Clothing
Helena Hooded Fleece,£55.00,"XS, S, M, L, XL","Blue, Gray, Yellow",WH10,New Luma Yoga Collection|Clothing,This is a variable product called a Helena Hooded Fleece,"Wear this hoodie after the gym or before a chilly weather bike ride. Either way, this versatile sweatshirt offers an effortlessly appealing silhouette and a super-comfy fit. Smooth, stretchy fabric creates flattering shape, while the full-zip placket and hood help block gusty winds.
Full zip. 
Banded cuffs and waist. 
Front pockets. 
Machine wash/dry.",Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/New Luma Yoga Collection|Clothing
Hawkeye Yoga Short,£29.00,"32, 33, 34, 36","Black, Blue, Gray",MSH05,Performance Fabrics|Clothing,This is a variable product called a Hawkeye Yoga Short,"What more do you need than a sporty yoga short made with organic cotton and a little spandex for mobility? The Hawkeye Yoga Short brings a stylish, standard fit you can sport with confidence outside the studio.
• Dark gray shorts with red accents.
• 92% Organic Cotton 8% Spandex.
• Breathable stretch organic cotton.
• Medium=8.0″ (21.0cm) inseam.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/Performance Fabrics|Clothing
Gwen Drawstring Bike Short,£50.00,"28, 29, 30, 31, 32","Blue, Gray, Orange",WSH03,Performance Fabrics|Clothing,This is a variable product called a Gwen Drawstring Bike Short,"For a completely modern style with moisture-wicking CoolTech™ technology, try the Gwen Drawstring Bike Short. Subtle grays and eye catching stitching combine with an adjustable waist for the perfect look and fit.
• Dark heather gray rouched bike shorts.
• Fitted. Inseam: 2″. 
• Machine wash/dry.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Performance Fabrics|Clothing
Gwyn Endurance Tee,£24.00,"XS, S, M, L, XL","Black, Green, Yellow",WS01,Tees|Clothing,This is a variable product called a Gwyn Endurance Tee,"When the miles add up, comfort is crucial. The short-sleeve Gwyn Endurance Tee is designed with an ultra-lightweight blend of breathable fabrics to help you tackle your training. Female-specific seams and a sporty v-neckline offer subtle style.
• Short-Sleeves.
• Machine wash/line dry.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing
Go-Get’r Pushup Grips,£19.00,"Athletic, Gym","Men, Women, Unisex",24-UG05,New Luma Yoga Collection,This is a simple product called Go-Get’r Pushup Grips,"The Go-Get’r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.",Home/Gear/Fitness Equipment|Collections/New Luma Yoga Collection
Fusion Backpack,£59.00,"Hiking, School, Yoga",Solid,24-MB02,Bags,This is a simple product called Fusion Backpack,"With the Fusion Backpack strapped on, every trek is an adventure – even a bus ride to work. That’s partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.",Home/Gear/Bags
Grayson Crewneck Sweatshirt,£64.00,"XS, S, M, L, XL","Orange, Red, White",MH11,Hoodies & Sweatshirts,This is a variable product called a Grayson Crewneck Sweatshirt ,"The Grayson Crewneck Sweatshirt gives you that ageless, classic look – a style that comes back around nearly every season. What’s more, its performance and temp-control values are always in vogue.
• Cream crewneck sweatshirt with black accents.
• 80% cotton/20% polyester fleece. 
• Patterned knit hood lining. 
• Knit cuffs and waist. 
• Pouch pocket. 
• Curl edged seam detail",Home/Clothing/Men/Tops/Hoodies & Sweatshirts
Geo Insulated Jogging Pant,£51.00,"32, 33, 34, 36","Blue, Green, Red",MP03,New Luma Yoga Collection|Clothing,This is a variable product called a Geo Insulated Jogging Pant,"In the cold, even the toughest guys shiver, unless they’re in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.
• Black polyester spandex pants with zipper pockets.
• Reflective safety accents. 
• Loose fit.
• On-seam pockets. 
• 8″ leg zips. 32″ inseam. 
• Machine wash/dry.",Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/New Luma Yoga Collection|Clothing
Gabrielle Micro Sleeve Top,£28.00,"XS, S, M, L, XL","Blue, Green, Red",WS02,New Luma Yoga Collection|Clothing,This is a variable product called a Gabrielle Micro Sleeve Top,"Luma’s most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.
• Lime green v-neck tee.
• Slimming, flattering fit.
• Moisture-wicking, quick-drying, anti-microbial, and anti-odor construction.
• Longer curved hem provides additional coverage.
• 55% Hemp / 45% Organic Cotton.",Home/Clothing/Women/Tops/Tees|Clothing/Promotions/Tees|Clothing/Collections/New Luma Yoga Collection|Clothing
Gobi HeatTec® Tee,£29.00,"XS, S, M, L, XL","Black, Orange, Red",MS04,Tees,This is a variable product called a Gobi HeatTec® Tee,"When the training gets intense, the Gobi HeatTec® Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that’s sure to keep you moving.
• Orange micropolyester shirt.
• HeatTec® wicking fabric.
• Crew neckline. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tees
Fiona Fitness Short,£29.00,"28, 29, 30, 31, 32","Black, Green, Red",WSH01,Eco Friendly|Clothing,This is a variable product called a Fiona Fitness Short,"Don’t let the plain style fool you: the Fiona Fitness Short demands notice on several levels. Comfort, of course. But also a performance-grade wicking fabric that takes everything you can give.
• Black run shorts 
– cotton/spandex.
• 5” inseam.
• Machine wash/Line dry.",Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Eco Friendly|Clothing
Frankie  Sweatshirt,£60.00,"XS, S, M, L, XL","Green, White, Yellow",MH04,Eco Friendly|Clothing,This is a variable product called a Frankie  Sweatshirt,"The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.
• Light green crewneck sweatshirt.
• Hand pockets.
• Relaxed fit.
• Machine wash/dry.",Home/Clothing/Men/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing
Rival Field Messenger,£45.00,"Travel, Urban",Solid,24-MB06,New Luma Yoga Collection,This is a simple product called Rival Field Messenger,"The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather – with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.",Home/Gear/Bags|Collections/New Luma Yoga Collection
Erikssen CoolTech™ Fitness Tank,£29.00,"XS, S, M, L, XL","Gray, Orange, Red",MT01,Tanks,This is a variable product called a Erikssen CoolTech™ Fitness Tank,"A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech™ Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow.
• Red performance tank.
• Slight scoop neckline. 
• Reflectivity. 
• Machine wash/dry.",Home/Clothing/Men/Tops/Tanks
Quest Lumaflex™ Band,£19.00,Gym,"Men, Women, Unisex",24-UG01,Fitness Equipment,This is a simple product called Quest Lumaflex™ Band,"From leg extensions and standing squats to a full range of floor routines, the Quest Strength Band brings your own personal gym with you everywhere you go. Designed to add extra resistance to any training session, this strength band helps you tone and define your muscles. You’ll love the extra comfort of its grippy handles and adjustable design.",Home/Gear/Fitness Equipment
Rapha  Sports Short,£35.00,"32, 33, 34, 36","Black, Blue, Purple",MSH07,Erin Recommends|Clothing,This is a variable product called a Rapha  Sports Short,"For those about to sweat, we support you with the Rapha Sports Short. The compression-fit liner surrounds your muscles with the stimulation they need to find your high gear, while moisture-wicking performance fabric helps prevents sweat build-up.
• Black shorts with royal accents.
• Compression liner. 
• Inseam: 8″. 
• Machine wash/dry.",Home/Clothing/Men/Bottoms/Shorts|Clothing/Promotions/Men Sale|Clothing/Collections/Erin Recommends|Clothing
